id,name,scope,publisherAuth,viewerAccess,interface,artifactModel,ttl,claim,evidence,maturity,priority,china,status,risks,source
ship-page,ship.page,multi-file / existing adapter,none,public link,HTTP API,existing vpublish protocol,Docs conflict: 7 vs 30 days; response expiry must win,claim token / URL,A: user/repo live + official,existing-enabled,keep + repair lifecycle,unverified,strict-anonymous,Official pages currently disagree on retention; never hard-code the marketing value.,https://ship.page/
shipstatic,ShipStatic,multi-file / existing adapter,none,public link,HTTP API,archive/static site,about 3 days in current repo observations,claim URL,A: repo live observation,existing-enabled,keep,unverified,strict-anonymous,HTML can be rewritten; byte-exact verification is not always applicable.,https://shipstatic.com/
here-now,here.now,multi-file / existing adapter,none,public link,3-step HTTP API,manifest + presigned uploads + finalize,24 hours anonymous,claim token / URL,A/B: repo live + official docs,existing-enabled,keep,unverified,strict-anonymous,Control-plane success does not prove upload-host or final-host reachability.,https://here.now/docs
show,Show,multi-file / existing adapter,none,public link,HTTP API,static site with extension allowlist,about 48 hours in current repo observations,none observed,A: repo live observation,existing-enabled,keep with compatibility filter,unverified,strict-anonymous,Hard extension allowlist rejects common 3D/WASM assets.,https://show.website/
aft-page,aft.page,wrapper / existing adapter,none,public link,HTTP API,wrapped page rather than byte-exact static host,about 30 days idle in current observations,none/unknown,A: repo live observation,existing-enabled-limited,keep but never choose for exact hosting,unverified,strict-anonymous-wrapper,Platform wrapper changes the delivered document.,https://aft.page/
dropley,Dropley,multi-file / existing experimental adapter,none,public link,HTTP API,static site with unpublished allowlist,1/3/7 days in current integration,none/unknown,A: repo live observation,existing-experimental,keep disabled/experimental,unverified,strict-anonymous-experimental,"Typical Vite outputs, fonts and extensions can be rejected.",https://dropley.com/
edgeone-makers,EdgeOne Makers anonymous,multi-file CLI,none before deploy,"query-token preview, apparently network/session constrained",official CLI,temporary project,claim deadline returned by CLI; preview token has a separate lifetime,SID claim token,A: user live test,registered-disabled,one controlled classification test only,high-priority but failed,login-free-upload-not-shareable,"User test: URL, index and assets all returned platform 401 with and without token. A deployment that independent readers cannot open is not quick-share.",https://pages.edgeone.ai/document/quick-launch-via-login-free-deployment-in-workbuddy
cloudflare-temporary,Cloudflare Workers Temporary Accounts,multi-file/static assets + Worker,none; PoW/temporary credentials handled by Wrangler,public workers.dev URL,Wrangler CLI or REST provisioning API,Worker + Static Assets,60 minutes unless claimed,single claim URL,B: official contract,major-provider-new-2026,P0 probe,must measure independently,strict-anonymous-candidate,"Temporary accounts support only selected resources; static assets capped at 1,000 files and 5 MiB each.",https://developers.cloudflare.com/workers/platform/claim-deployments/
netlify-anonymous,Netlify anonymous deploy,multi-file directory,none,public live URL,Netlify CLI / drag-and-drop,temporary Netlify project,1 hour unless claimed,claim ownership within one hour,B: official contract,major-provider-new-2026,P0 probe,must measure independently,strict-anonymous-candidate,Unclaimed project is removed after one hour; confirm CLI JSON and deletion semantics.,https://docs.netlify.com/deploy/create-deploys/
dropage,Dropage,HTML or archive static site,none,public link; optional visit cap,browser + HTTP upload API,HTML / ZIP / TAR / TGZ with root index.html,"1h, 6h, 24h, 7d or 14d",none advertised,B: official site/API guide,small-current,P0 probe,China-oriented interface; still needs network tests,strict-anonymous-candidate,Current homepage limits differ from older agent-skill text; live response must be source of truth.,https://dropage.online/
